kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
339;FEE II_TABLE 3A_ORTHOPEDIC SURGERY;ED;12120000;4240000
340;FEE II_TABLE 3A_PEDIATRIC SURGERY;ED;11020000;3860000
341;FEE II_TABLE 3A_PLASTIC SURGERY;ED;10700000;3750000
342;FEE II_TABLE 3A_UROLOGICAL SURGERY;ED;9180000;3210000
343;FEE II_TABLE 3A_VASCULAR SURGERY;ED;8310000;2910000
344;FEE II_TABLE 3B_CARDIAC SURGERY;ED;8720000;3050000
345;FEE II_TABLE 3B_DENTISTRY;ED;9130000;3200000
346;FEE II_TABLE 3B_DIGESTIVE SURGERY;ED;11170000;3910000
347;FEE II_TABLE 3B_ENT / OTORHINOLARYNGOLOGY;ED;11080000;3880000
348;FEE II_TABLE 3B_NEUROSURGERY;ED;16800000;5880000
349;FEE II_TABLE 3B_OBSTETRICS AND GYNECOLOGY;ED;9280000;3250000
350;FEE II_TABLE 3B_ONCOLOGY SURGERY;ED;12780000;4470000
351;FEE II_TABLE 3B_OPHTHALMOLOGY;ED;10040000;3510000
352;FEE II_TABLE 3B_ORTHOPEDIC SURGERY;ED;13990000;4900000
353;FEE II_TABLE 3B_PEDIATRIC SURGERY;ED;12610000;4410000
